148,Denver ACT 03-04,School ACT report,Education,School performance,2003-2004,School,Denver,CDE,Excel,G:\Source Data\CDE\ACT\Not Source
149,Master File 04-05,School ACT report,Education,School performance,2003-2004,School,Denver,CDE,SAV,G:\Source Data\CDE\ACT\Not Source
150,AYP2003-04,School accountability report,Education,School performance,2003-2004,School,State,CDE,Excel,G:\Source Data\CDE\AYP
151,AYP2004-05,School accountability report,Education,School performance,2004-2005,School,State,CDE,Excel,G:\Source Data\CDE\AYP
152,AYP2005-06,School accountability report,Education,School performance,2005-2006,School,State,CDE,Excel,G:\Source Data\CDE\AYP
153,ImprovementRatingDef,Program improvement dictionary,Education,School performance,NA,School,State,CDE,PDF document,G:\Source Data\CDE\AYP
154,ProgramImprovement_2006,Program improvement report,Education,School performance,2006,School,State,CDE,Excel,G:\Source Data\CDE\AYP
155,2007_CELA_K-12_PerformLevels_Dist_Sch,English language assessment report,Education,School performance,2007,School,State,CDE,Excel,G:\Source Data\CDE\CELA
156,1996-1999 4th Grade CSAP Reading Complete,School CSAP report,Education,School performance,1996-1999,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\1999
157,1996-1999 4th Grade CSAP Writing Complete,School CSAP report,Education,School performance,1996-1999,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\1999
158,1997-1999 3rd Grade CSAP Reading Complete,School CSAP report,Education,School performance,1997-1999,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\1999
159,1998-1999 3rd Grade CSAP Reading,School CSAP report,Education,School performance,1998-1999,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\1999
160,1998-1999 4th Grade CSAP Reading,School CSAP report,Education,School performance,1998-1999,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\1999
161,1998-1999 4th Grade CSAP Writing,School CSAP report,Education,School performance,1998-1999,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\1999
162,1998-1999 5th Grade CSAP Math,School CSAP report,Education,School performance,1998-1999,School,Denver,CDE,PDF report,G:\Source Data\CDE\CSAP\1999
163,1998-1999 5th Grade CSAP Math,School CSAP report,Education,School performance,1998-1999,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\1999
164,1998-1999 7th Grade CSAP Reading Complete,School CSAP report,Education,School performance,1998-1999,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\1999
165,1998-1999 7th Grade CSAP Reading,School CSAP report,Education,School performance,1998-1999,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\1999
166,1998-1999 7th Grade CSAP Writing Complete,School CSAP report,Education,School performance,1998-1999,School,State,CDE,Excel,G:\Source Data\CDE\CSAP\1999
167,1998-1999 7th Grade CSAP Writing,School CSAP report,Education,School performance,1998-1999,School,State,CDE,Excel,G:\Source Data\CDE\CSAP\1999
168,96-97 to 99-00 4th Reading Not Scaled,School CSAP report,Education,School performance,1996-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
169,96-97 to 99-00 4th Reading Scaled,School CSAP report,Education,School performance,1996-2000,School,Denver,CDE,Excel,G:\Source Data\CDE\CSAP\2000
